"행정구역별(읍면동)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호)
"수정구",241230,121900,119330,225139,113755,111384,16091,8145,7946,112858,105884,40,6934,67839,16381,38219,1005,11697,537,5052
"중원구",210665,105966,104699,206460,104080,102380,4205,1886,2319,95372,93755,55,1562,68069,9681,36532,968,20204,684,6301
"분당구",451221,218770,232451,446139,216567,229572,5082,2203,2879,182082,180364,48,1670,145182,5515,128449,8935,2045,238,23786
"의정부시",458966,225133,233833,451135,221609,229526,7831,3524,4307,196371,193577,132,2662,171591,12074,133552,2832,22124,1009,8151
"안양시",537159,264884,272275,526506,259778,266728,10653,5106,5547,217949,213815,86,4048,183214,8376,138856,3240,31593,1149,13061
"만안구",234408,116583,117825,226222,112522,113700,8186,4061,4125,98682,95384,71,3227,77430,5853,47671,2107,21085,714,5509
"동안구",302751,148301,154450,300284,147256,153028,2467,1045,1422,119267,118431,15,821,105784,2523,91185,1133,10508,435,7552
"부천시",803512,396445,407067,759630,374635,384995,43882,21810,22072,336113,320407,204,15502,282487,16378,166632,7155,89773,2549,25421
"광명시",275397,135115,140282,270415,132692,137723,4982,2423,2559,109381,107445,38,1898,99923,4382,77576,1063,16431,471,5800
"평택시",605678,319995,285683,568316,298533,269783,37362,21462,15900,265944,253667,202,12075,249968,33980,175685,7516,30694,2093,8717
"동두천시",91301,45634,45667,86615,43064,43551,4686,2570,2116,40294,39014,62,1218,39306,6447,22476,2548,7472,363,1186
"안산시",709147,367287,341860,616876,315494,301382,92271,51793,40478,304237,268028,336,35873,227189,15262,119331,8592,82631,1373,15378
